timestamp,seconds_since_start,event,ocr
2026-02-08T16:09:20,83.52,KNOCKED DOWN,
2026-02-08T16:09:47,110.25,"ASSIST, KNOCKED DOWN BCOR",
2026-02-08T16:09:54,116.93,"e ASSIST, ELIMINATION B",
2026-02-08T16:10:26,148.66,_/ KNOCKED DOWN,
2026-02-08T16:11:36,218.82,KNOCKED DOWN ai,
2026-02-08T16:12:16,258.91,KNOCKED DOWN +5),
2026-02-08T16:13:14,317.38,"‘ASSIST, KNOCKED DOWN BCOR",
2026-02-08T16:13:21,324.06,"ae ASSIST, ELIMINATION B",
2026-02-08T16:14:26,389.21,KNOCKED DOWN,
2026-02-08T16:14:34,397.56,e \ KNOCKED DOWN +5,
2026-02-08T16:15:31,454.36,KNOCKEDDOWN +50,
